time=0 | regret-basic=33.3788900452872 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=469.244664110368 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=478.389258145389 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=487.240422751302 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=495.209489644697 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=502.656733667323 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=510.034235306372 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=518.159823004041 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=525.128640530403 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=533.020571391777 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.4 | regret-basic=468.35888767398 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=4.5 | regret-basic=185.482925411041 | regret-our(beta1)=87.3850384660249 | regret-our(beta2)=58.4468038463939 | regret-our(beta3)=43.2156860900664
time=8.2 | regret-basic=693.075895376814 | regret-our(beta1)=142.067762036449 | regret-our(beta2)=112.24839469265 | regret-our(beta3)=88.3186955038736
time=8.2 | regret-basic=1501.96176278575 | regret-our(beta1)=146.62030799391 | regret-our(beta2)=149.720443238384 | regret-our(beta3)=127.916482758034
time=8.2 | regret-basic=2583.66292079375 | regret-our(beta1)=193.695352789415 | regret-our(beta2)=236.91636926378 | regret-our(beta3)=199.606648276815
time=8.2 | regret-basic=3925.1657913355 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=303.550470810824 | regret-our(beta3)=255.687817188437
time=8.2 | regret-basic=5512.28972579874 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=328.137685572674 | regret-our(beta3)=283.777799358924
time=8.3 | regret-basic=7327.48310580304 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=342.21615408085 | regret-our(beta3)=309.266809275933
time=8.3 | regret-basic=9362.20785131965 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.42233456507 | regret-our(beta3)=323.637143959087
time=8.3 | regret-basic=11197.0377494613 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=13207.0500659298 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=15392.7720562441 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=17759.5907162 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=20296.6850391358 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=23004.4433433101 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=25859.5612349527 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=28883.278716976 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=32053.7072940044 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=35357.3301149525 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=38792.2584618406 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=42356.3189561952 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.3 | regret-basic=46044.4827804729 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=49836.7410225053 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=53714.5339098835 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=57689.0347008092 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=61774.4713912821 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=65976.5222367147 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=70276.9463531469 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=74669.6631049251 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=79151.7808959694 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.4 | regret-basic=83724.1800358469 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=88380.4739135196 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=93128.0571201518 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=97959.259650071 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=102873.392981282 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=107865.927424756 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=112934.068817338 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=118079.361980609 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=123302.740829595 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=128597.381945251 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=8.5 | regret-basic=133465.474156521 | regret-our(beta1)=218.139140295056 | regret-our(beta2)=347.482311712576 | regret-our(beta3)=324.881827767561
time=0 | regret-basic=187.225693802691 | regret-our(beta1)=88.8116763078989 | regret-our(beta2)=59.607868018639 | regret-our(beta3)=44.1730526693843
time=0.1 | regret-basic=709.126215106626 | regret-our(beta1)=148.277058113939 | regret-our(beta2)=121.712607625889 | regret-our(beta3)=96.5633984697395
time=0.1 | regret-basic=1559.84917011244 | regret-our(beta1)=161.977543377551 | regret-our(beta2)=184.059062682272 | regret-our(beta3)=156.56792204651
time=0.1 | regret-basic=2729.6030934814 | regret-our(beta1)=273.068815829493 | regret-our(beta2)=329.551186675933 | regret-our(beta3)=273.152510229474
time=0.1 | regret-basic=4218.27348839048 | regret-our(beta1)=388.261049434923 | regret-our(beta2)=490.205706267007 | regret-our(beta3)=400.132429667942
time=0.1 | regret-basic=6023.23954401379 | regret-our(beta1)=430.692105714477 | regret-our(beta2)=643.150939426747 | regret-our(beta3)=529.923500939318
time=0.1 | regret-basic=8140.56574280556 | regret-our(beta1)=455.830381344215 | regret-our(beta2)=828.614105513304 | regret-our(beta3)=694.690392307056
time=0.1 | regret-basic=10569.134877407 | regret-our(beta1)=473.903820304672 | regret-our(beta2)=1039.15443677394 | regret-our(beta3)=883.459073194774
time=0.1 | regret-basic=12903.5790199252 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1189.30220048376 | regret-our(beta3)=1046.49050352721
time=0.1 | regret-basic=15530.9333236138 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1313.20357412891 | regret-our(beta3)=1198.65679196378
time=0.1 | regret-basic=18452.3746377292 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1488.46613750858 | regret-our(beta3)=1379.23381276603
time=0.2 | regret-basic=21676.7952816062 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1693.5222419088 | regret-our(beta3)=1581.05077363316
time=0.2 | regret-basic=25201.6111657719 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1887.58609198156 | regret-our(beta3)=1787.47177361931
time=0.2 | regret-basic=29027.6160579662 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2122.55117094954 | regret-our(beta3)=2027.00984061663
time=0.2 | regret-basic=33147.4308136637 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2342.33957929534 | regret-our(beta3)=2260.82359464438
time=0.2 | regret-basic=37568.7321664484 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2509.22908486604 | regret-our(beta3)=2462.37721959159
time=0.2 | regret-basic=42284.8433855918 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2690.61710544021 | regret-our(beta3)=2671.76045176006
time=0.2 | regret-basic=47291.4664651917 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2874.69901796469 | regret-our(beta3)=2886.36260893163
time=0.2 | regret-basic=52588.4246726014 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2981.90582464856 | regret-our(beta3)=3052.69279353986
time=0.2 | regret-basic=58174.6735739094 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3037.00793021891 | regret-our(beta3)=3185.89424124199
time=0.2 | regret-basic=64049.3474331201 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3125.29764417361 | regret-our(beta3)=3344.57258797269
time=0.2 | regret-basic=70191.3907327401 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3138.4477738325 | regret-our(beta3)=3436.25981723267
time=0.3 | regret-basic=76593.243129479 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3140.50663626697 | regret-our(beta3)=3520.52806275058
time=0.3 | regret-basic=83272.0855446724 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3141.14475411468 | regret-our(beta3)=3592.95750798687
time=0.3 | regret-basic=90232.4681418919 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3667.37937772579
time=0.3 | regret-basic=97477.1069036846 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3703.56014830626
time=0.3 | regret-basic=105000.907360243 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3750.69490426767
time=0.3 | regret-basic=112800.760758469 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3784.54110850866
time=0.3 | regret-basic=120874.920523505 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3802.53335109206
time=0.3 | regret-basic=129224.915831535 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3816.77590991694
time=0.3 | regret-basic=137848.274326503 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3828.35917497394
time=0.3 | regret-basic=146748.276322005 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3834.99274578255
time=0.4 | regret-basic=155921.259752667 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.21523469165
time=0.4 | regret-basic=165366.745578449 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=175083.586499638 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=185070.03085572 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=195326.6725335 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=205854.687593568 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=216649.317589873 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=0.4 | regret-basic=227205.380517391 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=3142.66868625958 | regret-our(beta3)=3840.92629778529
time=3.5 | regret-basic=4218.27348839048 | regret-our(beta1)=388.261049434923 | regret-our(beta2)=490.205706267007 | regret-our(beta3)=400.132429667942
time=144.1 | regret-basic=15530.9333236138 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=1313.20357412891 | regret-our(beta3)=1198.65679196378
time=160.1 | regret-basic=33147.4308136637 | regret-our(beta1)=476.692442717599 | regret-our(beta2)=2342.33957929534 | regret-our(beta3)=2260.82359464438
time=0.1 | regret-basic=4218.27348839048 | regret-our(beta1)=2.59792666892914 | regret-our(beta2)=8.73061228927969 | regret-our(beta3)=20.4835131027471
time=2.4 | regret-basic=15530.9333236138 | regret-our(beta1)=2.59792666892914 | regret-our(beta2)=8.73061228927969 | regret-our(beta3)=20.4835131027471
time=4.1 | regret-basic=33147.4308136637 | regret-our(beta1)=2.59792666892914 | regret-our(beta2)=8.73061228927969 | regret-our(beta3)=20.4835131027471
time=0 | regret-basic=4224.84636017605 | regret-our(beta1)=173520.529401485 | regret-our(beta2)=345778.49766639 | regret-our(beta3)=518035.368402816
time=0 | regret-basic=4218.27348839048 | regret-our(beta1)=2.62745428987689 | regret-our(beta2)=4.45053706715865 | regret-our(beta3)=15.9639524613073
time=2.7 | regret-basic=15530.9333236138 | regret-our(beta1)=2.62745428987689 | regret-our(beta2)=4.45053706715865 | regret-our(beta3)=15.9639524613073
time=0 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=2.9 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=4.4 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=5.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=5.6 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=37 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=37.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=37.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=6.8 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=6.8 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=6.9 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=6.9 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=7 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=7 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=7 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=7.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=0 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=7.5 | regret-basic=58580.5211926503 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=861.897334876733 | regret-our(beta3)=2151.26480807463
time=7.5 | regret-basic=230679.118203149 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1185.8772578621 | regret-our(beta3)=3956.40420491997
time=7.6 | regret-basic=514979.041521738 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1476.92391451693 | regret-our(beta3)=6701.27389106459
time=7.6 | regret-basic=910500.573876949 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1492.85205441704 | regret-our(beta3)=8140.7856754775
time=7.7 | regret-basic=1416431.94073836 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1492.85205441704 | regret-our(beta3)=8140.7856754775
time=7.7 | regret-basic=2032054.17071324 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1492.85205441704 | regret-our(beta3)=8140.7856754775
time=7.7 | regret-basic=2756722.35762712 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1492.85205441704 | regret-our(beta3)=8140.7856754775
time=7.8 | regret-basic=3589851.65801361 | regret-our(beta1)=81.8395758243685 | regret-our(beta2)=1492.85205441704 | regret-our(beta3)=8140.7856754775
